user_id,book_title,rating
user_390,The Midnight Library,3
user_169,Ender's Game,4
user_158,The Girl with the Dragon Tattoo,5
user_180,A Game of Thrones,5
user_165,The Kite Runner,4
user_278,The Midnight Library,4
user_52,The Hound of the Baskervilles,3
user_289,Dune,5
user_131,Jane Eyre,4
user_240,The Midnight Library,3
user_270,The Night Circus,3
user_35,"Thinking, Fast and Slow",3
user_255,A Little Life,2
user_26,The Girl with the Dragon Tattoo,3
user_165,Wuthering Heights,3
user_292,To Kill a Mockingbird,4
user_302,The Fellowship of the Ring,5
user_386,"Guns, Germs, and Steel",3
user_297,The Midnight Library,4
user_373,The Girl with the Dragon Tattoo,4
user_320,Into Thin Air,4
user_69,A Game of Thrones,5
user_231,The Immortal Life of Henrietta Lacks,3
user_92,The Left Hand of Darkness,4
user_42,Dune,3
user_120,The Hobbit,4
user_194,Sapiens,4
user_12,"Thinking, Fast and Slow",4
user_335,The Silence of the Lambs,4
user_141,And Then There Were None,2
user_326,Never Let Me Go,5
user_164,Anna Karenina,4
user_327,A Game of Thrones,5
user_349,A Little Life,3
user_111,Never Let Me Go,5
user_273,Dune,5
user_2,The Silence of the Lambs,3
user_384,Wuthering Heights,4
user_316,To Kill a Mockingbird,4
user_367,The Hound of the Baskervilles,2
user_88,To Kill a Mockingbird,5
user_364,The Immortal Life of Henrietta Lacks,3
user_161,Wuthering Heights,4
user_263,The Kite Runner,3
user_188,The Da Vinci Code,4
user_170,The Silence of the Lambs,4
user_176,Beloved,4
user_45,Educated,4
user_258,Great Expectations,4
user_158,The Immortal Life of Henrietta Lacks,4
user_146,Dune,5
user_117,Gone Girl,2
user_55,Normal People,4
user_259,Jane Eyre,3
user_315,Educated,4
user_49,The Hound of the Baskervilles,4
user_152,Gone Girl,3
user_179,The Hound of the Baskervilles,4
user_221,The Hobbit,4
user_47,Anna Karenina,4
user_366,"Thinking, Fast and Slow",4
user_10,"Guns, Germs, and Steel",3
user_35,Ender's Game,4
user_17,The Da Vinci Code,3
user_202,War and Peace,4
user_11,Pride and Prejudice,4
user_291,A Game of Thrones,5
user_272,Mistborn,4
user_338,The Name of the Wind,3
user_8,Crime and Punishment,3
user_281,Foundation,3
user_114,The Silence of the Lambs,4
user_275,The Immortal Life of Henrietta Lacks,3
user_215,Sapiens,3
user_104,Moby-Dick,4
user_145,Rebecca,2
user_268,The Left Hand of Darkness,4
user_378,The Silence of the Lambs,3
user_387,The Left Hand of Darkness,4
user_193,Mistborn,3
user_38,The Road,3
user_369,Neuromancer,2
user_102,The Silence of the Lambs,4
user_155,The Midnight Library,2
user_59,The Road,3
user_391,A Brief History of Time,3
user_277,Great Expectations,2
user_53,Never Let Me Go,4
user_277,Normal People,3
user_352,Foundation,3
user_379,Educated,3
user_62,Educated,3
user_179,Sapiens,4
user_233,War and Peace,4
user_195,To Kill a Mockingbird,5
user_158,Sapiens,5
user_166,Normal People,3
user_252,Educated,4
user_336,Foundation,4
user_317,Normal People,4
user_84,"Thinking, Fast and Slow",3
user_392,And Then There Were None,2
user_369,Circe,5
user_302,The Silence of the Lambs,3
user_267,"Thinking, Fast and Slow",4
user_45,The Left Hand of Darkness,4
user_255,"Thinking, Fast and Slow",3
user_229,Dune,4
user_247,Moby-Dick,3
user_7,Where the Crawdads Sing,4
user_25,The Silence of the Lambs,3
user_347,"Guns, Germs, and Steel",4
user_194,The Silence of the Lambs,4
user_26,The Name of the Wind,2
user_150,Never Let Me Go,4
user_182,The Wright Brothers,3
user_342,Rebecca,4
user_18,The Fellowship of the Ring,3
user_15,Ender's Game,4
user_266,The Fellowship of the Ring,4
user_192,A Little Life,4
user_300,The Hound of the Baskervilles,4
user_25,Educated,3
user_226,And Then There Were None,2
user_165,Crime and Punishment,3
user_198,The Left Hand of Darkness,5
user_391,To Kill a Mockingbird,5
user_386,War and Peace,5
user_12,The Silence of the Lambs,4
user_317,The Girl with the Dragon Tattoo,4
user_378,A Game of Thrones,3
user_372,The Da Vinci Code,3
user_212,The Night Circus,2
user_236,A Little Life,3
user_183,Circe,3
user_163,Where the Crawdads Sing,4
user_383,The Kite Runner,3
user_16,Where the Crawdads Sing,2
user_38,To Kill a Mockingbird,5
user_87,The Great Gatsby,3
user_329,Educated,4
user_128,The Hound of the Baskervilles,4
user_156,The Great Gatsby,2
user_259,The Hobbit,5
user_222,A Game of Thrones,3
user_89,And Then There Were None,3
user_280,The Silence of the Lambs,4
user_366,Educated,3
user_100,Jane Eyre,5
user_171,Where the Crawdads Sing,3
user_187,"Guns, Germs, and Steel",3
user_288,Beloved,4
user_14,Sapiens,4
user_149,Moby-Dick,5
user_74,Circe,4
user_139,The Great Gatsby,4
user_57,Where the Crawdads Sing,4
user_39,The Fellowship of the Ring,4
user_85,Ender's Game,4
user_23,The Road,3
user_344,Circe,4
user_283,Gone Girl,3
user_27,The Wright Brothers,3
user_392,The Great Gatsby,2
user_350,Pride and Prejudice,3
user_235,Dune,3
user_262,The Immortal Life of Henrietta Lacks,4
user_211,Neuromancer,3
user_3,The Kite Runner,4
user_236,Where the Crawdads Sing,5
user_127,The Da Vinci Code,4
user_144,"Thinking, Fast and Slow",3
user_282,Gone Girl,3
user_167,The Kite Runner,4
user_317,"Thinking, Fast and Slow",3
user_360,The Girl with the Dragon Tattoo,5
user_174,A Brief History of Time,2
user_180,The Left Hand of Darkness,5
user_253,War and Peace,3
user_241,The Girl with the Dragon Tattoo,5
user_119,Wuthering Heights,3
user_281,Moby-Dick,4
user_63,Foundation,3
user_64,Jane Eyre,4
user_120,Mistborn,3
user_45,Gone Girl,4
user_225,Educated,3
user_289,The Night Circus,3
user_98,The Fellowship of the Ring,2
user_319,Mistborn,4
user_110,The Left Hand of Darkness,5
user_342,Neuromancer,4
user_108,Jane Eyre,3
user_361,The Hound of the Baskervilles,5
user_394,Mistborn,3
user_63,Never Let Me Go,3
user_139,The Silence of the Lambs,4
user_28,Wuthering Heights,3
user_251,The Name of the Wind,3
user_163,The Da Vinci Code,2
user_360,The Silence of the Lambs,4
user_300,The Name of the Wind,4
user_323,The Da Vinci Code,3
user_86,Where the Crawdads Sing,3
user_184,Never Let Me Go,5
user_299,The Great Gatsby,3
user_59,A Game of Thrones,4
user_122,The Girl with the Dragon Tattoo,5
user_307,War and Peace,3
user_320,Where the Crawdads Sing,5
user_281,The Road,3
user_135,The Hound of the Baskervilles,5
user_141,The Great Gatsby,3
user_324,The Great Gatsby,3
user_228,The Left Hand of Darkness,4
user_150,Sapiens,3
user_58,Gone Girl,4
user_382,Neuromancer,4
user_382,To Kill a Mockingbird,4
user_71,Never Let Me Go,4
user_376,Gone Girl,4
user_19,A Game of Thrones,4
user_231,Pride and Prejudice,3
user_223,The Name of the Wind,3
user_237,Crime and Punishment,3
user_194,Gone Girl,4
user_1,The Da Vinci Code,3
user_44,War and Peace,4
user_196,The Kite Runner,4
user_172,The Fellowship of the Ring,3
user_134,Pride and Prejudice,4
user_137,The Hound of the Baskervilles,3
user_83,Where the Crawdads Sing,3
user_385,The Hobbit,5
user_27,The Hobbit,4
user_67,A Little Life,4
user_332,The Midnight Library,4
user_382,"Guns, Germs, and Steel",3
user_298,Mistborn,4
user_95,Mistborn,4
user_290,To Kill a Mockingbird,3
user_91,The Immortal Life of Henrietta Lacks,3
user_295,The Left Hand of Darkness,5
user_94,Neuromancer,3
user_303,Never Let Me Go,4
user_132,The Fellowship of the Ring,4
user_21,Educated,3
user_79,The Road,4
user_237,Jane Eyre,4
user_15,A Game of Thrones,5
user_10,The Girl with the Dragon Tattoo,4
user_258,A Little Life,3
user_246,The Great Gatsby,3
user_51,Educated,2
user_82,Into Thin Air,3
user_166,The Hobbit,4
user_97,Foundation,5
user_315,"Thinking, Fast and Slow",4
user_154,Where the Crawdads Sing,4
user_205,A Little Life,4
user_17,"Thinking, Fast and Slow",2
user_170,Normal People,2
user_236,Beloved,5
user_330,The Night Circus,3
user_123,Wuthering Heights,2
user_81,Ender's Game,2
user_232,In Cold Blood,5
user_392,"Thinking, Fast and Slow",3
user_271,Where the Crawdads Sing,3
user_387,And Then There Were None,3
user_33,"Guns, Germs, and Steel",2
user_326,Moby-Dick,3
user_363,Normal People,4
user_180,Sapiens,3
user_40,The Hobbit,4
user_320,The Silence of the Lambs,3
user_83,And Then There Were None,3
user_339,Beloved,4
user_277,The Midnight Library,3
user_41,The Road,3
user_107,The Hobbit,5
user_229,And Then There Were None,2
user_81,Neuromancer,3
user_128,Anna Karenina,2
user_280,Where the Crawdads Sing,3
user_346,Ender's Game,4
user_130,Anna Karenina,5
user_70,The Fellowship of the Ring,4
user_352,The Name of the Wind,3
user_162,A Brief History of Time,4
user_281,The Fellowship of the Ring,4
user_212,Crime and Punishment,2
user_186,Foundation,4
user_385,Great Expectations,2
user_43,Gone Girl,4
user_346,War and Peace,5
user_341,Wuthering Heights,5
user_154,Normal People,3
user_248,Where the Crawdads Sing,4
user_394,Beloved,5
user_98,Great Expectations,2
user_251,The Great Gatsby,3
user_364,Into Thin Air,2
user_176,Anna Karenina,5
user_317,The Silence of the Lambs,4
user_49,Never Let Me Go,5
user_395,The Left Hand of Darkness,4
user_370,In Cold Blood,4
user_31,War and Peace,4
user_213,A Game of Thrones,4
user_180,Circe,3
user_229,The Fellowship of the Ring,3
user_35,Jane Eyre,3
user_23,Pride and Prejudice,3
user_296,The Left Hand of Darkness,4
user_392,Moby-Dick,4
user_157,The Hobbit,4
user_210,Circe,4
user_173,Where the Crawdads Sing,3
user_44,Sapiens,4
user_147,The Wright Brothers,3
user_187,The Da Vinci Code,4
user_62,Jane Eyre,4
user_303,Where the Crawdads Sing,4
user_182,Anna Karenina,5
user_76,The Fellowship of the Ring,4
user_338,Great Expectations,3
user_197,A Brief History of Time,4
user_198,The Kite Runner,4
user_35,The Hobbit,5
user_182,Moby-Dick,5
user_1,The Girl with the Dragon Tattoo,5
user_385,Circe,4
user_92,Neuromancer,3
user_202,Neuromancer,4
user_391,A Game of Thrones,5
user_327,The Road,3
user_145,Great Expectations,2
user_367,The Kite Runner,2
user_295,Pride and Prejudice,3
user_362,A Game of Thrones,5
user_355,The Fellowship of the Ring,5
user_67,And Then There Were None,3
user_337,Great Expectations,3
user_324,Great Expectations,3
user_117,Into Thin Air,3
user_245,War and Peace,4
user_74,The Girl with the Dragon Tattoo,4
user_235,Crime and Punishment,3
user_340,Moby-Dick,5
user_210,Pride and Prejudice,4
user_175,Rebecca,2
user_378,Anna Karenina,4
user_213,Foundation,3
user_385,Wuthering Heights,4
user_363,Dune,4
user_242,The Fellowship of the Ring,4
user_309,Great Expectations,2
user_134,Beloved,5
user_116,The Hobbit,5
user_82,Where the Crawdads Sing,4
user_17,Foundation,3
user_208,The Left Hand of Darkness,5
user_160,The Left Hand of Darkness,4
user_109,The Wright Brothers,4
user_78,The Girl with the Dragon Tattoo,4
user_258,Moby-Dick,4
user_380,Gone Girl,3
user_314,Gone Girl,3
user_59,Jane Eyre,4
user_181,Jane Eyre,4
user_223,The Hobbit,5
user_232,Mistborn,3
user_348,Mistborn,4
user_175,The Name of the Wind,3
user_299,The Midnight Library,3
user_393,The Hobbit,4
user_277,War and Peace,3
user_249,The Name of the Wind,3
user_176,The Left Hand of Darkness,4
user_156,A Little Life,3
user_190,The Great Gatsby,2
user_395,Great Expectations,2
user_156,Jane Eyre,4
user_220,"Thinking, Fast and Slow",4
user_129,War and Peace,4
user_211,The Name of the Wind,3
user_241,Gone Girl,4
user_218,The Immortal Life of Henrietta Lacks,3
user_173,The Midnight Library,3
user_67,A Game of Thrones,5
user_331,The Road,3
user_291,The Name of the Wind,4
user_144,To Kill a Mockingbird,5
user_365,Crime and Punishment,3
user_42,Where the Crawdads Sing,3
user_280,The Midnight Library,4
user_291,The Fellowship of the Ring,4
user_260,Crime and Punishment,3
user_21,The Girl with the Dragon Tattoo,4
user_348,Never Let Me Go,5
user_130,Educated,3
user_380,Jane Eyre,4
user_376,"Guns, Germs, and Steel",3
user_158,The Midnight Library,4
user_223,Neuromancer,3
user_70,Neuromancer,3
user_90,A Game of Thrones,5
user_178,The Kite Runner,3
user_177,Circe,4
user_296,A Little Life,3
user_179,Pride and Prejudice,3
user_146,Neuromancer,4
user_320,The Wright Brothers,4
user_133,A Little Life,2
user_6,And Then There Were None,3
user_278,Where the Crawdads Sing,5
user_296,A Brief History of Time,3
user_209,Into Thin Air,3
user_72,The Road,2
user_134,Normal People,4
user_244,In Cold Blood,3
user_68,The Name of the Wind,2
user_8,Jane Eyre,4
user_123,The Silence of the Lambs,3
user_30,Anna Karenina,4
user_369,Sapiens,4
user_357,To Kill a Mockingbird,4
user_50,Ender's Game,4
user_137,Rebecca,2
user_262,The Girl with the Dragon Tattoo,4
user_74,A Little Life,5
user_119,Moby-Dick,4
user_294,In Cold Blood,5
user_264,Pride and Prejudice,3
user_279,The Great Gatsby,4
user_252,The Name of the Wind,4
user_333,Great Expectations,2
user_163,The Road,2
user_319,Crime and Punishment,3
user_240,Sapiens,4
user_11,The Fellowship of the Ring,4
user_45,The Wright Brothers,3
user_105,Sapiens,3
user_381,The Silence of the Lambs,2
user_6,Dune,5
user_199,The Road,4
user_347,Rebecca,3
user_369,The Immortal Life of Henrietta Lacks,4
user_113,The Kite Runner,4
user_89,Into Thin Air,3
user_49,A Little Life,5
user_276,Beloved,4
user_54,Never Let Me Go,3
user_134,Educated,4
user_375,And Then There Were None,4
user_265,Dune,4
user_1,The Night Circus,4
user_304,The Night Circus,2
user_77,The Night Circus,3
user_289,The Great Gatsby,4
user_300,Ender's Game,4
user_395,The Kite Runner,3
user_8,Gone Girl,2
user_182,Normal People,4
user_1,"Thinking, Fast and Slow",3
